"","jeolla","seoul"
"1","나는 다이어트에 대해서 말하고 싶어.","나는 다이어트에 대해서 말하고 싶어."
"2","하","하"
"3","우리 집은 내가 봤을 때 살찔 수밖에 없는 구조를 가지고 있어.","우리 집은 내가 봤을 때 살찔 수밖에 없는 구조를 가지고 있어."
"4","다이어트를 해야 되는 사람은 애초에 야식을 많이 먹거나 아 어제도 야식을 먹었거든?","다이어트를 해야 되는 사람은 애초에 야식을 많이 먹거나 아 어제도 야식을 먹었거든?"
"5","{laughing}","{laughing}"
"6","그러니까 다이어트는 이게 애초에 조금만 먹으면 되는데 많이 먹으니까 어쩔 수 없이 하게 될 수 밖에 없어","그러니까 다이어트는 이게 애초에 조금만 먹으면 되는데 많이 먹으니까 어쩔 수 없이 하게 될 수 밖에 없어"
"7","아 나 간헐적 단식도 해봤거든?","아 나 간헐적 단식도 해봤거든?"
"8","하루 한 끼도 해봤단 말이야.","하루 한 끼도 해봤단 말이야."
"9","근데 하루 한 끼는 우선 옆에 있는 가족들이 하루 세 끼를 먹기 때문에","근데 하루 한 끼는 우선 옆에 있는 가족들이 하루 세 끼를 먹기 때문에"
"10","도저히 할 수가 없어.","도저히 할 수가 없어."
"11","밥을 너무 먹고 싶어.","밥을 너무 먹고 싶어."
"12","그래서 못 해","그래서 못 해"
"13","다이어트 너무 어려워 그래서","다이어트 너무 어려워 그래서"
"14","아 다이어트가 근데 진짜 식단이 진짜 한 팔십 퍼센트고 운동이 이십 퍼센트 정도 되는데","아 다이어트가 근데 진짜 식단이 진짜 한 팔십 퍼센트고 운동이 이십 퍼센트 정도 되는데"
"15","식단을 가족들이 그렇게 다 옆에서 먹어 버리니까","식단을 가족들이 그렇게 다 옆에서 먹어 버리니까"
"16","이제 나 혼자 식단을 하기에는 너무 힘들고 옆에 또 맛있는 냄새가 나니까 인제 나는 또 고구마랑 계란 이런 거 먹어야 되고 너무 서럽지.","이제 나 혼자 식단을 하기에는 너무 힘들고 옆에 또 맛있는 냄새가 나니까 이제 나는 또 고구마랑 계란 이런 거 먹어야 되고 너무 서럽지."
"17","아 근데 옆에 가족들이 그 먹어야 되니까 식단 못하는 거는 좀 진짜 인정이야.","아 근데 옆에 가족들이 그 먹어야 되니까 식단 못하는 거는 좀 진짜 인정이야."
"18","왜냐면 나는 막 닭 가슴살 구워 가지고 먹고 싶은데 옆에서 라면이랑 끓여갖고 먹고 있어.","왜냐면 나는 막 닭 가슴살 구워 가지고 먹고 싶은데 옆에서 라면이랑 끓여갖고 먹고 있어."
"19","그라믄 나는 뭐 어떡해 그래서 옆에서 막 부추긴다?","그러면 나는 뭐 어떡해 그래서 옆에서 막 부추긴다?"
"20","막 아 하나만 먹어 괜찮아 한 개만 먹어도 괜찮아","막 아 하나만 먹어 괜찮아 한 개만 먹어도 괜찮아"
"21","이러면은 나도 모르게 약간 홀린다고 그럼 먹게 된다고","이러면은 나도 모르게 약간 홀린다고 그럼 먹게 된다고"
