"","jeju","seoul"
"1","이천이십년 십이월 십오일 일요일 오후 여덟 시 오 분","이천이십년 십이월 십오일 일요일 오후 여덟 시 오 분"
"2","대화 녹음 시작하겠습니다 리더 &name1&","대화 녹음 시작하겠습니다 리더 &name1&"
"3","화자 &name2& 입니다","화자 &name2& 입니다"
"4","대화 -시- 녹음 시작하겠습니다","대화 -시- 녹음 시작하겠습니다"
"5","너 막 지쳤져?","너 막 지쳤네?"
"6","막 지쳐신게 얼굴이","막 지쳤네 얼굴이"
"7","성당 갔다오고 예","성당 갔다오고 예"
"8","성당?","성당?"
"9","겅해그네 이제","그래서 이제"
"10","밥먹엉 아들 대령 아들 겨울 이제 옷 그 패딩 같은 거 족끼영","밥먹고 아들 데리고 아들 겨울 이제 옷 그 패딩 같은 거 조끼랑"
"11","그속에 있는 것들 있잖아요 (())","그속에 있는 것들 있잖아요 (())"
"12","그런거","그런거"
"13","작년에는 그거 어서냐","작년에는 그거 어서냐"
"14","작년엔 그거 안했주마씀 그냥 그 폴라폴리스 같은거 그런거 해신디","작년엔 그거 안했거든요 그냥 그 폴라폴리스 같은거 그런거 했는데"
"15","아맹해도 크게 가볍고 더 따뜻 하나 사줄려고행 지난번부터터 마련행 오늘 가겐행","아무래도 크게 가볍고 더 따뜻 하나 사줄려고해서 지난번부터터 마련해도 오늘 가자고 해서"
"16","오늘 간예","오늘 가서요"
"17","돌아다니는 것도예","돌아다니는 것도요"
"18","그 지쳐그네 못돌아 다니크라마씨","그 지쳐서 못돌아 다니겠어요"
"19","여기저기 간 것도 아닌데 거기 근데 나중에 동문시장강","여기저기 간 것도 아닌데 거기 근데 나중에 동문시장가서"
"20","그 호떡 사먹잰 떡볶이영","그 호떡 사먹을려고 떡볶이랑"
"21","맛있겠다","맛있겠다"
"22","가신디예","갔는데요"
"23","관광객의 꼬득 시장안에예","관광객의 가득 시장안에요"
"24","가득 담아정예","가득 담아져서"
"25","그 떡볶이 집도 그 유명한데 이서예","그 떡볶이 집도 그 유명한데 있어요"
"26","그제주도예 거기 줄예 이만큼 스곡","그제주도예 거기 줄예 이만큼 서고"
"27","반대쪽에도 그만큼 스고예","반대쪽에도 그만큼 서고요"
"28","마스크들을 써서그거?","마스크들을 써서그거?"
"29","다 어 다 쓴 것 같아요 진짜예 영","다 어 다 쓴 것 같아요 진짜요 이렇게"
"30","질을 못지나 다니크라마씨 질을","길을 못지나 다니겟어요 길을"
"31","거기 사람들 꼬득 담아졍","거기 사람들 가득 들어가서"
"32","암튼 겅행","암튼 그래서"
"33","그 기다령 떡볶이를 먹어사 될거냐","그 기다려서 떡볶이를 먹어야 될거냐"
"34","억울하니까 먹어야지","억울하니까 먹어야지"
"35","그냥 돌아와부러수다 도랑오멍","그냥 돌아와버렸어요 돌아오면서"
"36","오늘 코로나 제주도민 발생했댄","오늘 코로나 제주도민 발생했대"
"37","그치","그치"
"38","게그네 어쩔 수 없이 그 저 어디지","그래서 어쩔 수 없이 그 저 어디지"
"39","호떡 파는 할머니이신디 거기 가신디예","호떡 파는 할머니있는데 거기 갔는데요"
"40","그 또 거기도 호떡 파는 데 두군데거든마씨","그 또 거기도 호떡 파는 데 두군데거든요"
"41","응 알아","응 알아"
"42","근데 그 안쪽에 있는 거기는예 줄또예 나라비선예","근데 그 안쪽에 있는 거기는요 줄또요 나란히 서서요"
"43","게난 그 맨 첫번째 호떡할머니가","그러니까 그 맨 첫번째 호떡할머니가"
"44","(())거기서 사그네 얼른 집에 왕예","(())거기서 사서 얼른 집에 와서"
"45","너무 지치고 겅하난 추우난 그호떵 먹어네","너무 지치고 그러니까 추우난 그호떡 먹어서"
"46","좀 앉아그네 텔레비젼 봐신디 그세 잠들어분거아니","좀 앉아그네 텔레비젼 봤는데 그세 잠들어 버리거아니"
"47","일어나난 지금 막 놀작핸","일어나난 지금 막 깜짝놀라서"
"48","밥은 먹언다?","밥은 먹었어?"
"49","방금 아까 아이영이 한숟깔","방금 아까 아이랑 한숟깔"
"50","아방은?","아빠는?"
"51","아방은 친구 만나러 나가고","아빠는 친구 만나러 나가고"
"52","게난","그러니가"
"53","딸내미 나랑 밥먹고 아들래미는 또 친구 만나러 나가고","딸내미 나랑 밥먹고 아들래미는 또 친구 만나러 나가고"
"54","아들들은 참 남자들은 참 바빠","아들들은 참 남자들은 참 바빠"
"55","모르쿠다난","모르쿠다난"
"56","아니 근디 우리가 이 난 조금만하면 막 지처","아니 그런데 우리가 이 난 조금만하면 막 지처"
"57","조금만 하면 지치고","조금만 하면 지치고"
"58","올해 뭘 하지도 못하고","올해 뭘 하지도 못하고"
"59","겅해도예","그래도요"
"60","나 지난주영 지지난주영 이 주 동안예","나 지난주랑 지지난주랑 이 주 동안요"
"61","한라생태숲이랜행예 거기","한라생태숲이라고해서 거기"
"62","응 알아","응 알아"
"63","거기 갔다왔주마씨게","거기 갔다왔거든요"
"64","응","응"
"65","갔다 와신디예","갔다 왔는데요"
"66","갔다 오기로 했잖아 이","갔다 오기로 했잖아 #이"
"67","거기 갔다와신디예 우리 그 친구네영 가신디예","거기 갔다왔는데요 우리 그 친구네랑 갔는데요"
"68","저 뭐냐","저 뭐냐"
"69","그때 처음에 갈 때는 어 한","그때 처음에 갈 때는 어 한"
"70","대여명 가고","대여명 가고"
"71","그다음에 두 번째 갈 때는 세 명만 갔거든예","그다음에 두 번째 갈 때는 세 명만 갔거든요"
"72","겅행 가신디 한라생태숲이","그래서 갔는데 한라생태숲이"
"73","그 어디과 그 교래리 그 아니 어디지","그 어디죠 그 교래리 그 아니 어디지"
"74","절물하고","절물하고"
"75","제주대학교 응응 글로 그 길로 가그네 그 생태숲에서 가면","제주대학교 응응 글로 그 길로 가서 그 생태숲에서 가면"
"76","그 교래에 있는 그 절물 자연 휴양림까지","그 교래에 있는 그 절물 자연 휴양림까지"
"77","만나는 거지","만나는 거지"
"78","연결된마씨 연결된","연결됬어요 연결된"
"79","완전 열변행","완전 열변행"
"80","나 말은 많이 들었져 가보지 못행","나 말은 많이 들었져 가보지 못해서"
"81","게그네 그","그래서 그"
"82","생태 숲길을 가봤져많은","생태 숲길을 가봤져많은"
"83","한라생태숲길로 들어강 한라생태숲길","한라생태숲길로 들어가서 한라생태숲길"
"84","거기 좋아라거기도","거기 좋아라거기도"
"85","거기 말고 숫모루길이랜 이서예","거기 말고 숫모루길이라고 있어요"
"86","숫모루길로도 가면 그","숫모루길로도 가면 그"
"87","저 어디 아 생태숲으로 가도 만나는구나 게 절물 가는 길로","저 어디 아 생태숲으로 가도 만나는구나 #게 절물 가는 길로"
"88","맞나 지구 거기가 편백 나무 길 이서마씨","맞나 지구 거기가 편백 나무 길 있어요"
"89","완전 완전","완전 완전"
"90","평평해?","평평해?"
"91","그 평평 거기는 평평해마씨","그 평평 거기는 평평해마씨"
"92","돌멩이도 있고 돌멩이막 이서?","돌멩이도 있고 돌멩이막 이서?"
"93","그 송이로 깔려져 이서마씨 거기는","그 송이로 깔려져 있어요 거기는"
"94","근데 나무가 완전 이따마니 키커가지고","근데 나무가 완전 이만큼 키커가지고"
"95","편백나무 낭이 완전 키커가지고","편백나무 나무가 완전 키커가지고"
"96","장난아니켜","장난아니겠다"
"97","햇빛이 그 사이로 만 영영 들어오고 하니깐예 시원하시원하기도하고","햇빛이 그 사이로 만 이렇게이렇게 들어오고 하니깐요 시원하시원하기도하고"
"98","똣똣하기도 하고 완전 거기 걷기 완전 좋아마씨","따듯하기도 하고 완전 거기 걷기 완전 좋아요"
"99","차는 어디가서?","차는 어디갔어"
"100","-헬- 한라생태숲 거기 주차장 -원- 완전 넓어예 근데도예 아홉시에","-헬- 한라생태숲 거기 주차장 -원- 완전 넒어요 근데도요 아홉시에"
"101","가신디도 차가에 꽉꽉 들어서십디다","갔는데도 차가에 꽉꽉 들어섰더라고요"
"102","거기는 좋더라","거기는 좋더라"
"103","게그네 돌아올땐?","그래서` 돌아올땐?"
"104","거기 새워그네 그 절물까지 갔당 돌아오주마씨게","거기 새워서 그 절물까지 갔다가 돌아오지요"
"105","끝까지 갔다?","끝까지 갔다?"
"106","그러니깐","그러니깐"
"107","그 숫모루길이랜 나는 그길밖에 안다녀부난 모르겠는데","그 숫모루길이라고 나는 그길밖에 안다녀서 모르겠는데"
"108","숫모루길로 이렇게 해가지고","숫모루길로 이렇게 해가지고"
"109","그 절물자연휴양림 그 쪽으로 쭉 내려가면 거기도 그 약천암이랜 해가지고예","그 절물자연휴양림 그 쪽으로 쭉 내려가면 거기도 그 약천암이라고 해가지고요"
"110","절물 속에","절물 속에"
"111","절물속에 조그만 한(()) 하나있거든예","절물속에 조그만 한(()) 하나있거든요"
"112","차마시고?","차마시고?"
"113","응응 거기 갔당","응응 거기 갔다가"
"114","다시 그 길로 다시 돌아오는거라마씨 그질로","다시 그 길로 다시 돌아오는거에요 그길로"
"115","그질로 돌아오면","그질로 돌아오면"
"116","(())","(())"
"117","나같이 천천히 걸어도예","나같이 천천히 걸어도요"
"118","가멍그네 차도 한잔 마시고 가땅","가면서 차도 한잔 마시고 갔다가"
"119","속에서 걸으멍 지치난 앉앙 쉬엉","속에서 걸으면서 지치니까 앉아서 쉬고"
"120","한 두어 번 안장 쉬고 겅 말곧고","한 두어 번 앉아서 쉬고 그렇게 말하고"
"121","겅허멍 해도 한 두시간 반에서 세시라마씨 막 늦게 걸어도","그러면서 해도 한 두시간 반에서 세시에요 막 늦게 걸어도"
"122","그거 겅해그네 기껏해야 그 머리","그거 그렇게해서 기껏해야 그 머리"
"123","그 거리가예","그 거리가요"
"124","십일키로? 십일키로 십이키로 겅되마씨","십일키로? 십일키로 십이키로 그렇게되요"
"125","일요일날 토요일날 걷기 딱 좋켜","일요일날 토요일날 걷기 딱 좋겟다"
"126","그런데 관광객들 꼬독꼬독 담아정예","그런데 관광객들 가득가득 담아져서요"
"127","마스크 껴서냐?","마스크 껴서냐?"
"128","마스크는 다꼈지 마스크는 다끼고","마스크는 다꼈지 마스크는 다끼고"
"129","겅하지 않으면예 오늘도 그 동문시장 갔을때예 너무 사람 많이 담아젼예","그러지 않으면요 오늘도 그 동문시장 갔을때요 너무 사람 많이 담아져서"
"130","진짜 우리 돗대기시장이랜 하잖아예 돗대기시장","진짜 우리 돼지시장이라고 하잖아요 돼지시장"
"131","(())","(())"
"132","응 그니까","응 그니까"
"133","제주도민은 가도예","제주도민은 가도요"
"134","안 좋아 여유가 어서 사람들 다막 오메기떡 산다 무슨 생선 산다","안 좋아 여유가 없어 사람들 다막 오메기떡 산다 무슨 생선 산다"
"135","또 거기 아이들","또 거기 아이들"
"136","젊은 청년들 창업해가지고 막 다양한 음식들 막 하니깐예","젊은 청년들 창업해가지고 막 다양한 음식들 막 하니까요"
"137","거기도 줄이 (()) 막 선마씨","거기도 줄이 (()) 막 섰어요"
"138","그래 가지고 어쨌든 겅행 장사하시는 분들은 그거 어","그래 가지고 어쨌든 그래서 장사하시는 분들은 그거 어"
"139","시장에서 겅행 다행인디","시장에서 그래서 다행인데"
"140","우리 같이 그냥 평범한 도민들은 거기 한번 가민 겅하난","우리 같이 그냥 평범한 도민들은 거기 한번 가면 그렇게하니까"
"141","좀 안좋주마씀","좀 안좋지요"
"142","(())지도못하고","(())지도못하고"
"143","사람 너무 많고 겅 하니까","사람 너무 많고 그렇게 하니까"
"144","난 동문시장보다는 오일시장이 나신다","난 동문시장보다는 오일시장이 나아"
"145","게난예 거기예 벼라별 거기 진짜 베라밸거 다이서","그니까요 거기요 별에별 거기 진짜 별의별거 다이서"
"146","거기 차도 못새우고","거기 차도 못새우고"
"147","거기 공영 주차장도 있거든마씨","거기 공영 주차장도 있거든요"
"148","주차빌딩","주차빌딩"
"149","예 어","예 어"
"150","거기 오늘 우리는 거기 안들어가고 딴 데 그 아들 못살 거라부난 딴데 세웠당","거기 오늘 우리는 거기 안들어가고 딴 데 그 아들 못살 거라부난 딴데 세웠당"
"151","아방 차가정와그넹 이제","아방 차가정와그넹 이제"
"152","집으로 오잰하난 그쪽 길로 오게되서예","집으로 오려고하니까 그쪽 길로 오게되서예"
"153","고기잡아에 차 타 렌트카 하호 코우키","고기잡아에 차 타 렌트카 하호 코우키"
"154","다겅핸예 줄 쫙거기 들어가지 못행","다그래서요 줄 쫙거기 들어가지 못해서"
"155","겅해부난","그래서"
"156","잘도 많이 왔구나","엄청 많이 왔구나"
"157","겅해부난 거기예","그래서 거기요"
"158","못가크라마씨 사람도 너무 하고 이제","못가겠어요 사람도 너무 많고 이제"
"159","-뭐- 못먹엉 완?","-뭐- 못먹고 왓어?"
"160","못먹고 그냥 저 호떡만 상왔댄하니까마끼","못먹고 그냥 저 호떡만 사왔다니까요"
"161","호떡만 상완 게그네 사오자마자 우리 다들 지치난 그거 막 먹었주","호떡만 사완 그래서 사오자마자 우리 다들 지치니까 그거 막 먹었지"
"162","게고 그 호떡도예 저뭐냐","그리고 그 호떡도요 저뭐냐"
"163","줄 우리 상감시난 뒤에 줄선예 많이 사지도 못하크라 다른 사람 눈치보영","줄 우리 사고가고있으니까 뒤에 줄서서요 많이 사지도 못하크라 다른 사람 눈치보영"
"164","기껏 좀 그냥 막 와부렀주","기껏 좀 그냥 막 와부렀주"
"165","겡 옷은 산다","그래서 옷은 샀어?"
"166","아이들 옷은 사고","아이들 옷은 사고"
"167","막 자이 좋아햄시켜이","막 쟤 좋아하겠네"
"168","겅행 예 그거 입엉나와","그래서 예 그거 입고나와"
"169","그거 입엉 친구들 만나러","그거 입고 친구들 만나러"
"170","겅행 갔주","그래서 갔주"
"171","암튼 그 생태숲 숲모루길 말고예","암튼 그 생태숲 숲모루길 말고요"
"172","그 한라 그 생태 숲 안에","그 한라 그 생태 숲 안에"
"173","그 연못 같은 무슨 길도 있댄마씨","그 연못 같은 무슨 길도 이대요"
"174","가멍 그 가운데에 응","가면서 그 가운데에 응"
"175","연못 같은 저거 받으면 나중에 뭐 거기에","연못 같은 저거 받으면 나중에 뭐 거기에"
"176","너 가봐시면 가게","너 가봤으면 가게"
"177","게난 거기에 -가봐- 거기 한번예","게난 거기에 -가봐- 거기 한번요"
"178","나 어제 말한","나 어제 말한"
"179","그 뭐지","그 뭐지"
"180","대록산","대록산"
"181","우리 아방 갔댄이 두번 갔다왔댄이","우리 아빠1 갔대 두번 갔다왔대"
"182","거기 와전 좋댄  하지 안앱디가","거기 와전 좋다고 하지 안해요?"
"183","기지예 그 인터넷에 치면 그러니까 인터넷에 치면예 그","기지예 그 인터넷에 치면 그러니까 인터넷에 치면요 그"
"184","어디꽈 그 따라비 오름이영 그 맞은편 오름이영 잘도 좋댄 나오는디","어디에요 그 따라비 오름이랑 그 맞은편 오름이랑 잘도 좋다고 나오는데"
"185","그 동네","그 동네"
"186","그니까 거기가 제주도 중산간이거든요 가시리가","그니까 거기가 제주도 중산간이거든요 가시리가"
"187","거기가 그 정석항공관이고 그 항공관 바로 붙엉 옆에","거기가 그 정석항공관이고 그 항공관 바로 붙어서 옆에"
"188","그 그 길로 가마씨 거기 주차 한대도 넓고","그 그 길로 가요 거기 주차 한대도 넓고"
"189","그러니까 거기 아는 사람들만 거기 가는거라마씨","그러니까 거기 아는 사람들만 거기 가는거에요"
"190","그래가지고 나도 갔는데 나도 처음 간예 처음 갔는데","그래가지고 나도 갔는데 나도 처음 갓어요 처음 갔는데"
