"","chungcheong","seoul"
"1","나는 말이여.","나는 말이야."
"2","좀 계절 같은 경우는 이제 나는 가을을 좋아하는 편인디","좀 계절 같은 경우는 이제 나는 가을을 좋아하는 편인데"
"3","봄 아님 좀 가을을 좋아하는 편이여.","봄 아님 좀 가을을 좋아하는 편이야."
"4","왜냐하면 여름에는 너무 덥고 겨울에는 너무 춥고","왜냐하면 여름에는 너무 덥고 겨울에는 너무 춥고"
"5","여름에는 덥고 습하고 겨울에는 건조하고 춥단 말이여.","여름에는 덥고 습하고 겨울에는 건조하고 춥단 말이야."
"6","근데 나는 일단 기본적으로 추운 걸 좀 좋아하는 편인디","근데 나는 일단 기본적으로 추운 걸 좀 좋아하는 편인데"
"7","건조한건 또 싫어한단 말이여.","건조한건 또 싫어한단 말이야."
"8","왜냐면 내가 피부가 좀 건조하면 안되는 피부여 가주구","왜냐면 내가 피부가 좀 건조하면 안되는 피부여 가지고"
"9","이제 -춤- -여- 더운 것 보다는 추운 걸 좋아하는디 건조하면 싫단 말야 그래서","이제 -춤- -여- 더운 것 보다는 추운 걸 좋아하는데 건조하면 싫단 말야 그래서"
"10","봄이나 가을 같은 경우에는 그런 좀 밸런스가 좀 잘 맞춰져 있다고 생각을 해 가주구","봄이나 가을 같은 경우에는 그런 좀 밸런스가 좀 잘 맞춰져 있다고 생각을 해 가지고"
"11","나는 봄이나 가을을 좋아하는 편이고","나는 봄이나 가을을 좋아하는 편이고"
"12","근데 이제 봄이나 가을은 조금 좋아하긴 하는디 좀 싫은 게 뭐냐면","근데 이제 봄이나 가을은 조금 좋아하긴 하는데 좀 싫은 게 뭐냐면"
"13","이제 놀러 가는 거나 이런 거는 솔직히 산","이제 놀러 가는 거나 이런 거는 솔직히 산"
"14","산이 가을이나 봄에 가기 좋잖여.","산이 가을이나 봄에 가기 좋잖아."
"15","산은 근데 또 내가 싫어한단 말이여.","산은 근데 또 내가 싫어한단 말이야."
"16","그래서 이~ 놀러갈게 없는 게 쪼꼼","그래서 이~ 놀러갈게 없는 게 조금"
"17","음~ 조금 -싫- 그런 게 쫌 별로고","음~ 조금 -싫- 그런 게 좀 별로고"
"18","이제 여름이나 겨울은 놀러 갈 곳도 많고 이제 먹을 것도 되게 생각나는게 많잖여.","이제 여름이나 겨울은 놀러 갈 곳도 많고 이제 먹을 것도 되게 생각나는게 많잖아."
"19","그래서 여름 같은 경우엔 이제 막 아이스 이런 이런 음식도 되게","그래서 여름 같은 경우엔 이제 막 아이스 이런 이런 음식도 되게"
"20","맛있는 게 많기도 하고 삼계탕 같은 것도 내가 되게 좋아한단 말이여.","맛있는 게 많기도 하고 삼계탕 같은 것도 내가 되게 좋아한단 말이야."
"21","그래서 삼계탕도 많이 챙겨먹고","그래서 삼계탕도 많이 챙겨먹고"
"22","그 다음에 뭐~ 또 은근 여름에 이제 뜨거운 국밥 같은 거 하고 또 맛있단 말이여.","그 다음에 뭐~ 또 은근 여름에 이제 뜨거운 국밥 같은 거 하고 또 맛있단 말이야."
"23","그래서 여름에도 국밥 같은 거 좋아하고","그래서 여름에도 국밥 같은 거 좋아하고"
"24","(()) 겨울에는 더 좋지.","(()) 겨울에는 더 좋지."
"25","겨울에는 이제 붕어빵도 있고","겨울에는 이제 붕어빵도 있고"
"26","호떡도 있고 그다음에 뭐 호빵도 있고","호떡도 있고 그다음에 뭐 호빵도 있고"
"27","어묵도 있고 이런 게 있단 말이여.","어묵도 있고 이런 게 있단 말이야."
"28","겨울에는 이제 막 밖에 포장마찬 마차 같은 데 서 가주구","겨울에는 이제 막 밖에 포장마찬 마차 같은 데 서 가지고"
"29","추운 바람 맞으면서 어묵 먹고 약간 이런 게 진짜 맛있단 말이여.","추운 바람 맞으면서 어묵 먹고 약간 이런 게 진짜 맛있단 말이야."
